id;cnpj;razao_social;nome_fantasia;postal_code;city;state_province
1;4095;Som Tools;matrix;New Jersey enterprise synthesize;Darianmouth;artificial intelligence virtual
2;65162;capability Chips Bolivar Fuerte;Investor;Home;Warrenton;Vermont Keys
3;93995;transmit initiatives policy;out-of-the-box matrix productivity;Product;Lake Coltenberg;Music feed North Dakota
4;65882;digital Practical;tan transitional Flat;Avon Shoal dynamic;Port Edmund;Intelligent Granite Solutions
5;27652;Research;Architect deposit;Buckinghamshire;Emardmouth;New Mexico facilitate
6;60589;interactive;calculating Cheese;withdrawal Licensed Steel Chicken;Reingerport;multi-state ivory payment
7;79304;Car Investor;protocol bandwidth;24/365;Port Emmanuelle;silver Investment Account
8;26409;Investment Account;Auto Loan Account Chips synergy;Jewelery Liberian Dollar multi-state;Kenyonchester;Table microchip Legacy
9;59700;South Carolina Engineer Platinum;Program;Tuna Credit Card Account;Krajcikville;Generic Cotton Car implement
10;21639;bypassing Alabama evolve;Trail Sleek Frozen Table;Money Market Account firewall;New Henryfort;Seychelles Rupee card Orchestrator
