id;data_emissao;data_vencimento;descricao;valor
1;2020-06-09T11:24:44;2020-06-09T06:00:54;Director Technician;Awesome Zimbabwe
2;2020-06-09T23:46:35;2020-06-10T01:55:45;Assistant Djibouti Franc;tan
3;2020-06-09T06:47:33;2020-06-09T12:39:43;collaboration;brand
4;2020-06-09T12:31:31;2020-06-09T10:31:24;Arizona Direct;B2B Berkshire functionalities
5;2020-06-09T06:56:42;2020-06-09T20:36:52;leading edge Division;Games plum
6;2020-06-09T21:52:11;2020-06-10T00:49:00;scalable;Cambridgeshire calculate SCSI
7;2020-06-09T18:44:06;2020-06-09T14:10:45;bandwidth Sports;time-frame Planner
8;2020-06-09T22:01:19;2020-06-10T01:26:47;payment;Divide
9;2020-06-09T19:11:10;2020-06-09T11:09:11;facilitate web-readiness quantifying;distributed wireless
10;2020-06-09T07:36:03;2020-06-09T14:27:31;Handmade Steel Salad;hub methodology
